num_sommet; nom_sommet; numéro_ligne; si_terminus; branchement (0 stations en commun, 1 pour la direction 1,  2 pour la direction 2, ainsi  de suite ...)
0; Abbesses ;12 ;False; 0
1; Alexandre Dumas ;2 ;False; 0
2; Alma Marceau ;9 ;False; 0
3; Alésia ;4 ;False; 0
4; Anatole France ;3 ;False; 0
5; Anvers ;2 ;False; 0
6; Argentine ;1 ;False; 0
7; Arts et Métiers ;11 ;False; 0
8; Arts et Métiers ;3 ;False; 0
9; Assemblée Nationale ;12 ;False; 0
10; Aubervilliers-Pantin, Quatre Chemins ;7 ;False; 0
11; Avenue Émile Zola ;10 ;False; 0
12; Avron ;2 ;False; 0
13; Barbès Rochechouart ;2 ;False; 0
14; Barbès Rochechouart ;4 ;False; 0
15; Basilique de Saint-Denis ;13 ;False; 1
16; Bastille ;1 ;False; 0
17; Bastille ;5 ;False; 0
18; Bastille ;8 ;False; 0
19; Bel Air ;6 ;False; 0
20; Belleville ;11 ;False; 0
21; Belleville ;2 ;False; 0
22; Bercy ;14 ;False; 0
23; Bercy ;6 ;False; 0
24; Bibliothèque François Mitterand ;14 ;True; 0
25; Billancourt ;9 ;False; 0
26; Bir-Hakeim ;6 ;False; 0
27; Blanche ;2 ;False; 0
28; Bobigny, Pablo Picasso ;5 ;True; 0
29; Bobigny-Pantin, Raymond Queneau ;5 ;False; 0
30; Boissière ;6 ;False; 0
31; Bolivar ;7bis ;False; 0
32; Bonne Nouvelle ;8 ;False; 0
33; Bonne Nouvelle ;9 ;False; 0
34; Botzaris ;7bis ;False; 0
35; Boucicaut ;8 ;False; 0
36; Boulogne, Jean Jaurès ;10 ;False; 0
37; Boulogne, Pont de Saint-Cloud, Rond Point Rhin et Danube ;10 ;True; 0
38; Bourse ;3 ;False; 0
39; Brochant ;13 ;False; 2
40; Bréguet-Sabin ;5 ;False; 0
41; Buttes Chaumont ;7bis ;False; 0
42; Buzenval ;9 ;False; 0
43; Bérault ;1 ;False; 0
44; Cadet ;7 ;False; 0
45; Cambronne ;6 ;False; 0
46; Campo-Formio ;5 ;False; 0
47; Cardinal Lemoine ;10 ;False; 0
48; Carrefour Pleyel ;13 ;False; 1
49; Censier Daubenton ;7 ;False; 0
50; Champs Élysées, Clémenceau ;1 ;False; 0
51; Champs Élysées, Clémenceau ;13 ;False; 0
52; Chardon Lagâche ;10 ;False; 0
53; Charenton-Écoles ;8 ;False; 0
54; Charles Michels ;10 ;False; 0
55; Charles de Gaulle, Étoile ;1 ;False;  0
56; Charles de Gaulle, Étoile ;2 ;False; 0
57; Charles de Gaulle, Étoile ;6 ;True; 0
58; Charonne ;9 ;False; 0
59; Chaussée d'Antin, La Fayette ;7 ;False;  0
60; Chaussée d'Antin, La Fayette ;9 ;False; 0
61; Chemin Vert ;8 ;False; 0
62; Chevaleret ;6 ;False; 0
63; Château Landon ;7 ;False; 0
64; Château Rouge ;4 ;False; 0
65; Château d'Eau ;4 ;False; 0
66; Château de Vincennes ;1 ;True; 0
67; Châtelet ;1 ;False; 0
68; Châtelet ;11 ;True; 0
69; Châtelet ;14 ;False; 0
70; Châtelet ;4 ;False; 0
71; Châtelet ;7 ;False; 0
72; Châtillon-Montrouge ;13 ;True; 0
73; Cité ;4 ;False; 0
74; Cluny, La Sorbonne ;10 ;False; 0
75; Colonel Fabien ;2 ;False; 0
76; Commerce ;8 ;False; 0
77; Concorde ;1 ;False; 0
78; Concorde ;12 ;False; 0
79; Concorde ;8 ;False; 0
80; Convention ;12 ;False; 0
81; Corentin Celton ;12 ;False; 0
82; Corentin-Cariou ;7 ;False; 0
83; Corvisart ;6 ;False; 0
84; Cour Saint-Émilion ;14 ;False; 0
85; Courcelles ;2 ;False; 0
86; Couronnes ;2 ;False; 0
87; Crimée ;7 ;False; 0
88; Croix de Chavaux ;9 ;False; 0
89; Créteil-Préfecture ;8 ;True; 0
90; Créteil-Université ;8 ;False; 0
91; Créteil-l'Echat, Hôpital Henri Mondor ;8 ;False; 0
92; Danube ;7bis ;False; 0
93; Daumesnil ;6 ;False; 0
94; Daumesnil ;8 ;False; 0
95; Denfert Rochereau ;4 ;False; 0
96; Denfert Rochereau ;6 ;False; 0
97; Dugommier ;6 ;False; 0
98; Dupleix ;6 ;False; 0
99; Duroc ;10 ;False; 0
100; Duroc ;13 ;False; 0
101; Edgar Quinet ;6 ;False; 0
102; Esplanade de la Défense ;1 ;False; 0
103; Europe ;3 ;False; 0
104; Exelmans ;9 ;False; 0
105; Faidherbe-Chaligny ;8 ;False; 0
106; Falguière ;12 ;False; 0
107; Filles du Calvaire ;8 ;False; 0
108; Fort d'Aubervilliers ;7 ;False; 0
109; Franklin D. Roosevelt ;1 ;False; 0
110; Franklin D. Roosevelt ;9 ;False; 0
111; Félix Faure ;8 ;False; 0
112; Gabriel Péri, Asnières-Gennevilliers ;13 ;True; 2
113; Gaité ;13 ;False; 0
114; Galliéni ;3 ;True; 0
115; Gambetta ;3 ;False; 0
116; Gambetta ;3bis ;True; 0
117; Gare d'Austerlitz ;10 ;True; 0
118; Gare d'Austerlitz ;5 ;False; 0
119; Gare de Lyon ;1 ;False; 0
120; Gare de Lyon ;14 ;False; 0
121; Gare de l'Est ;4 ;False; 0
122; Gare de l'Est ;5 ;False; 0
123; Gare de l'Est ;7 ;False; 0
124; Gare du Nord ;4 ;False; 0
125; Gare du Nord ;5 ;False; 0
126; Garibaldi ;13 ;False; 1
127; George  ;1 ;False; 0
128; Glacière ;6 ;False; 0
129; Goncourt ;11 ;False; 0
130; Grande Arche de la Défense ;1 ;True; 0
131; Guy Môquet ;13 ;False; 1
132; Havre Caumartin ;3 ;False; 0
133;Havre Caumartin ;9 ;False; 0
134; Hoche ;5 ;False; 0
135; Hôtel de Ville ;1 ;False; 0
